BEDS Code,School Name,Local School Code
320900011241,"Urban Assembly School for Applied Math and Science, The",09X241
320900011250,Eximius College Preparatory Academy: A College Board School,09X250
320900011252,Mott Hall Bronx High School,09X252
320900011260,Bronx Center for Science and Mathematics,09X260
320900011263,Validus Preparatory Academy,09X263
320900011297,Morris Academy for Collaborative Studies,09X297
320900011324,Bronx Early College Academy for Teaching & Learning,09X324
320900011329,Dreamyard Preparatory School,09X329
320900011350,New Directions Secondary School,09X350
320900011365,Academy for Language and Technology,09X365
320900011403,Bronx International High School,09X403
320900011404,School for Excellence,09X404
320900011412,Bronx High School of Business,09X412
320900011413,Bronx High School for Medical Science,09X413
320900011505,"Bronx School for Law, Government and Justice",09X505
320900011517,Frederick Douglass Academy III Secondary School,09X517
320900011525,Bronx Leadership Academy High School,09X525
320900011543,High School for Violin and Dance,09X543
320900011564,Claremont International HS,09X564
321000010003,P.S. 3 Raul Julia Micro Society,10X003
321000010007,Milton Fein School,10X007
321000010008,P.S. 008 Isaac Varian,10X008
321000010009,P.S. 9 Ryer Avenue Elementary School,10X009
321000010015,P.S. X015 Institute for Environmental Learning,10X015
321000010020,"P.S./M.S. 20 P.O.George J. Werdann, III",10X020
321000010023,P.S. 023 The New Children's School,10X023
321000010024,P.S. 024 Spuyten Duyvil,10X024
321000010032,P.S. 032 Belmont,10X032
321000010033,P.S. 033 Timothy Dwight,10X033
321000010037,P.S. X037 - Multiple Intelligence School,10X037
321000010045,Thomas C. Giordano Middle School 45,10X045
321000010046,P.S. 046 Edgar Allan Poe,10X046
321000010051,The Bronx STEM and Arts Academy,10X051
321000010054,P.S./I.S. 54,10X054
321000010056,P.S. 056 Norwood Heights,10X056
321000010059,P.S. 059 The Community School of Technology,10X059
321000010077,Bedford Park Elementary School,10X077
321000010080,J.H.S. 080 The Mosholu Parkway,10X080
321000010081,P.S. 081 Robert J. Christen,10X081
321000010085,P.S. 085 Great Expectations,10X085
321000010086,P.S. 086 Kingsbridge Heights,10X086
321000010091,P.S. 091 Bronx,10X091
321000010094,P.S. 094 Kings College School,10X094
321000010095,P.S. 095 Sheila Mencher,10X095
321000010118,J.H.S. 118 William W. Niles,10X118
321000010159,P.S. 159 Luis Munoz Marin Biling,10X159
321000010205,P.S. 205 Fiorello Laguardia,10X205
321000010206,I.S. 206 Ann Mersereau,10X206
321000010207,P.S. 207,10X207
321000010209,P.S. 209,10X209
321000010225,Theatre Arts Production Company School,10X225
321000010226,P.S. 226,10X226
321000010228,Jonas Bronck Academy,10X228
321000010244,The New School for Leadership and Journalism,10X244
321000010246,P.S. 246 Poe Center,10X246
321000010254,I.S. 254,10X254
321000010279,"P.S. 279 Captain Manuel Rivera, Jr.",10X279
321000010280,P.S./M.S. 280 Mosholu Parkway,10X280
321000010291,P.S. 291,10X291
321000010306,P.S. 306,10X306
321000010307,Luisa Pineiro Fuentes School of Science and Discovery,10X307
321000010308,Bronx Dance Academy School,10X308
321000010310,P.S. 310 Marble Hill,10X310
321000010315,P.S. 315 Lab School,10X315
321000010331,The Bronx School of Young Leaders,10X331
321000010340,P.S. 340,10X340
321000010344,Ampark Neighborhood,10X344
321000010360,P.S. 360,10X360
321000010363,Academy for Personal Leadership and Excellence,10X363
321000010368,In-Tech Academy (M.S. / High School 368),10X368
321000010382,"Elementary School for Math, Science, and Technology",10X382
321000010386,School for Environmental Citizenship,10X386
321000010390,M.S. 390,10X390
321000010391,The Angelo Patri Middle School,10X391
321000010396,P.S. 396,10X396
321000010447,Creston Academy,10X447
321000010666,Pre-K Center District 10,10XP10
321000011141,Riverdale / Kingsbridge Academy (Middle School / High School 141),10X141
321000011213,Bronx Engineering and Technology Academy,10X213
321000011237,"The Marie Curie School for Medicine, Nursing, and Health Professions",10X237
321000011243,West Bronx Academy for the Future,10X243
321000011264,Bronx Academy for Software Engineering (BASE),10X264
321000011268,Kingsbridge International High School,10X268
321000011284,Bronx School of Law and Finance,10X284
321000011319,Providing Urban Learners Success in Education High School,10X319
321000011342,International School for Liberal Arts,10X342
321000011351,Bronx Collaborative High School,10X351
321000011353,World View High School,10X353
321000011374,Knowledge and Power Preparatory Academy International High School (KAPPA),10X374
321000011397,English Language Learners and International Support Preparatory Academy (ELLIS),10X397
321000011433,High School for Teaching and the Professions,10X433
321000011434,Belmont Preparatory High School,10X434
321000011437,Fordham High School for the Arts,10X437
321000011438,Fordham Leadership Academy,10X438
321000011439,Bronx High School for Law and Community Service,10X439
321000011440,Dewitt Clinton High School,10X440
321000011442,"Celia Cruz Bronx High School of Music, The",10X442
321000011445,Bronx High School of Science,10X445
321000011477,Marble Hill High School for International Studies,10X477
321000011524,Crotona International High School,10X524
321000011546,Bronx Theatre High School,10X546
321000011549,Discovery High School,10X549
321000011565,High School for Energy and Technology,10X565
321000011696,High School of American Studies at Lehman College,10X696
321100010016,P.S. 016 Wakefield,11X016
321100010019,P.S. 019 Judith K. Weiss,11X019
321100010021,P.S. 021 Philip H. Sheridan,11X021
321100010041,P.S. 041 Gun Hill Road,11X041
321100010068,P.S. 068 Bronx,11X068
